trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
112,META,2023-06-13,2023-06-20,275.56720489501953,278.0331859588623,1740,481884.3711999206,481358.8548505783,-525.5163493423024,-0.0010905444972904021,Leader rotation,-0.11%
113,NVDA,2023-06-20,2023-08-16,43.105496101379394,44.408700456619265,11157,483332.6601031053,492990.53163952864,9657.871536423336,0.01998183101130202,Supertrend down,+2.00%
114,NVDA,2023-08-30,2023-09-27,49.16660871505737,42.224176826477056,9977,492987.93142587796,419164.2591367728,-73823.67228910519,-0.1497474229756165,Supertrend down,-14.97%
115,NVDA,2023-10-12,2023-10-25,46.8939429283142,43.28950381278992,8889,418924.4599832338,382876.3973949301,-36048.0625883037,-0.08604907574445864,Supertrend down,-8.60%
116,META,2023-10-25,2023-11-01,310.775,301.09538108825683,1224,382290.54299999995,366698.0427197662,-15592.50028023374,-0.04078704159896973,Supertrend down,-4.08%
117,CEG,2023-11-06,2023-11-09,119.28747285842896,121.2860213470459,3066,367564.06874286284,370003.62674279255,2439.5579999297042,0.006637095971522511,Leader rotation,+0.66%
118,NVDA,2023-11-09,2023-11-22,47.585666551589966,49.72737118721009,7736,369963.3300253154,382767.488786736,12804.158761420578,0.03460926454669022,Leader rotation,+3.46%
119,ZS,2023-11-22,2023-12-01,193.51257377624512,197.39527439117433,1968,382736.9089176086,386531.5305018219,3794.6215842132806,0.0099144386020793,Leader rotation,+0.99%
120,PDD,2023-12-01,2024-02-05,143.67830734252928,121.49550304412843,2597,374998.22698939126,313946.2022985735,-61052.02469081775,-0.1628061689276865,Supertrend down,-16.28%
121,CRWD,2024-02-05,2024-02-28,76.440625,79.5157088470459,4237,325498.32276562497,335223.5180930088,9725.195327383815,0.02987786617378796,Supertrend down,+2.99%
122,NVDA,2024-02-28,2024-03-14,77.81405275344848,89.3530609703064,4259,333067.1009303217,378651.9132391723,45584.81230885058,0.13686374962139247,Leader rotation,+13.69%
123,CRWD,2024-03-14,2024-04-26,83.458125,74.89728658676148,4540,380794.3869374999,338333.5126983776,-42460.87423912232,-0.11150604025602784,Supertrend down,-11.15%
124,NVDA,2024-05-07,2024-07-01,91.32574457168579,123.16132621765138,3645,334546.75065861363,446678.4188930226,112131.66823440895,0.3351748836706925,Supertrend down,+33.52%
125,CRWD,2024-07-01,2024-07-02,96.56079969406127,95.32857851028443,4642,450476.4083407315,440302.68513751664,-10173.723203214875,-0.022584364052910977,Leader rotation,-2.26%
126,ARM,2024-07-02,2024-08-01,157.2421311187744,128.38823169708252,2786,440266.96018339,355901.1654405315,-84365.7947428585,-0.19162417890208372,Supertrend down,-19.16%
127,AVGO,2024-08-16,2024-08-20,164.88117622375486,166.63237804412842,2126,352290.0675549613,352489.13354320795,199.06598824664252,0.0005650627326176938,Leader rotation,+0.06%
128,NVDA,2024-08-20,2024-09-10,128.72099388122558,107.54047256469727,2730,353165.3548622245,292117.5626511154,-61047.792211109074,-0.17285894941457325,Supertrend down,-17.29%
129,CEG,2024-09-20,2024-10-28,235.74790367126462,266.22278961181644,1245,294973.6707710781,329790.1362013779,34816.46543029981,0.11803245130078066,Leader rotation,+11.80%
130,TSLA,2024-10-28,2025-01-08,270.675,391.9676371765137,1205,327794.19187499996,469959.39778371045,142165.2059087105,0.4337026385230258,Supertrend down,+43.37%
131,MRVL,2025-01-23,2025-01-24,123.66840061187743,126.36330030441285,3742,465080.99086509354,470487.2123904173,5406.221525323752,0.011624258207732163,Leader rotation,+1.16%
132,PLTR,2025-01-24,2025-02-05,79.2476280593872,101.52554878234864,5972,475633.1689445136,603279.0244415451,127645.85549703153,0.2683703825372248,Leader rotation,+26.84%
133,APP,2025-02-05,2025-03-04,378.3134201049804,323.19,1591,604906.1346439589,511624.31354999996,-93281.82109395892,-0.15420875364218878,Supertrend down,-15.42%
134,PLTR,2025-04-28,2025-08-26,114.06444877624511,155.0015243911743,4465,511844.252604864,688621.3973745604,176777.14476969634,0.3453729212940202,Supertrend down,+34.54%
135,IDXX,2025-08-26,2025-09-10,642.9533505249024,651.27769821167,1065,688169.0449005661,690142.6948524514,1973.649951885338,0.0028679725810254464,Leader rotation,+0.29%
136,AVGO,2025-09-10,2025-09-15,352.39878898620606,358.97032012939457,1950,690613.5267157173,696492.1636310578,5878.636915340554,0.008512194864321643,Leader rotation,+0.85%
137,WBD,2025-09-15,2025-10-01,18.81692545890808,19.481175684928896,36636,692823.7655181191,710143.7906310897,17320.025112970616,0.02499917868726409,Leader rotation,+2.50%
138,PLTR,2025-10-01,2025-10-28,181.77330734252928,189.00629573822022,3884,709537.5633469756,730429.9503840111,20892.387037035543,0.02944507537907315,Leader rotation,+2.94%
139,AMD,2025-10-28,2025-11-26,259.7878646850586,209.52487804412843,2803,731826.3116357803,584361.7419919035,-147464.56964387675,-0.20150214237892528,Supertrend down,-20.15%
140,WDC,2026-01-28,2026-05-11,264.1086372375488,487.8074237823487,2212,587129.3470973051,1073634.8712995225,486505.52420221735,0.8286172827289939,Leader rotation,+82.86%
141,MU,2026-05-11,2026-06-05,794.9624304199218,942.0390243530273,1344,1073771.6540167967,1259769.9464868165,185998.29247001978,0.17321959633990325,Leader rotation,+17.32%
142,WDC,2026-06-05,2026-07-06,546.613125,565.5825,2291,1258552.1227218746,1289270.7599625,30718.637240625452,0.024407918183150246,Supertrend down,+2.44%
